Name,URL
Ameisenbergschule Grund- und Hauptschule,http://www.schulliste.eu/schule/1-ameisenbergschule-grund-und-hauptschule/
Falkert-Schule Grund- und Hauptschule mit Werkrealschule,http://www.schulliste.eu/schule/2-falkert-schule-grund-und-hauptschule-mit-werkrealschule/
Vogelsangschule Grundschule,http://www.schulliste.eu/schule/3-vogelsangschule-grundschule/
Grund- und Werkrealschule Gablenberg,http://www.schulliste.eu/schule/4-grund-und-werkrealschule-gablenberg/
Grundschule Gaisburg,http://www.schulliste.eu/schule/5-grundschule-gaisburg/
Heusteigschule Grund- und Werkrealschule,http://www.schulliste.eu/schule/6-heusteigschule-grund-und-werkrealschule/
Grundschule im Sonnigen Winkel,http://www.schulliste.eu/schule/7-grundschule-im-sonnigen-winkel/
Grundschule im Sonnigen Winkel AuÃenstelle LeibnizstraÃe,http://www.schulliste.eu/schule/8-grundschule-im-sonnigen-winkel-au-enstelle-leibnizstra-e/
Jakobschule Grundschule,http://www.schulliste.eu/schule/9-jakobschule-grundschule/
Lerchenrainschule Grundschule,http://www.schulliste.eu/schule/10-lerchenrainschule-grund-und-werkrealschule/
Wilhelm-Hauff-Schule Grundschule,http://www.schulliste.eu/schule/11-wilhelm-hauff-schule-grundschule/
MÃ¼hlbachhof-Grundschule,http://www.schulliste.eu/schule/12-muhlbachhof-grundschule/
Grund- und Werkrealschule Ostheim,http://www.schulliste.eu/schule/13-grund-und-werkrealschule-ostheim/
Pragschule Grundschule,http://www.schulliste.eu/schule/14-pragschule-grundschule/
Raitelsbergschule Grund- und Hauptschule,http://www.schulliste.eu/schule/15-raitelsbergschule-grund-und-hauptschule/
RÃ¶merschule Grundschule,http://www.schulliste.eu/schule/16-romerschule-grundschule/
Rosensteinschule Grund- und Werkrealschule,http://www.schulliste.eu/schule/17-rosensteinschule-grund-und-werkrealschule/
Schwabschule Grundschule,http://www.schulliste.eu/schule/18-schwabschule-grundschule/
Friedensschule Werkrealschule,http://www.schulliste.eu/schule/19-friedensschule-werkrealschule/
Fuchsrainschule Grundschule,http://www.schulliste.eu/schule/20-fuchsrainschule-grundschule/
Kirchhaldenschule Grundschule Botnang,http://www.schulliste.eu/schule/21-kirchhaldenschule-grundschule-botnang/
Franz-Schubert-Schule Grundschule Botnang,http://www.schulliste.eu/schule/22-franz-schubert-schule-grundschule-botnang/
Bismarckschule Grund- und Werkrealschule Feuerbach,http://www.schulliste.eu/schule/23-bismarckschule-grund-und-werkrealschule-feuerbach/
Bachschule Grundschule Feuerbach,http://www.schulliste.eu/schule/24-bachschule-grundschule-feuerbach/
Hohewartschule Grundschule,http://www.schulliste.eu/schule/25-hohewartschule-grundschule/
Reisachschule Grund- und Hauptschule Weilimdorf,http://www.schulliste.eu/schule/26-reisachschule-grund-und-hauptschule-weilimdorf/
Wolfbuschschule Grund- und Werkrealschule Weilimdorf,http://www.schulliste.eu/schule/27-wolfbuschschule-grund-und-hauptschule-weilimdorf/
