Name,Bundesland,Schultyp,Kategorien,email_encoded,,
Ameisenbergschule Grund- und Hauptschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,1,,
Falkert-Schule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,1,,
Vogelsangschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Werkrealschule Gablenberg,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,1,,
Grundschule Gaisburg,Baden-Württemberg,Öffentlich, Grundschulen ,1,,
Heusteigschule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,1,,
Grundschule im Sonnigen Winkel,Baden-Württemberg,Öffentlich, Grundschulen ,1,,
"Freibühl-Schule Grund-, Haupt- und Realschule Grossengstingen",Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Kleinengstingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Achalmschule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Sternbergschule Grund- und Hauptschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Rulamanschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Digelfeldschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Hohensteinschule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Werkrealschule Römerstein Böhringen Außenstelle Werkrealschule Hülben,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Grundschule Holzelfingen-Honau,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Uhlandschule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Uhlandschule Grund- und Hauptschule mit Werkrealschule Außenstelle Grundschule Brögerschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grund- und Hauptschule Mehrstetten,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Sieben-Keltern-Schule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Neugreuthschule Grund- und Werkrealschule Metzingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Uhlandschule Grund- und Hauptschule Neuhausen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Uhlandschule Grund- und Hauptschule Neuhausen Außenstelle Grundschule Glems,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Hardtschule Auingen Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule am Eisenrüttel Dottingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Lautertal-Schule Grundschule Hundersingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Wunderbuch-Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Laiblinschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Uhland-Grundschule Pfullingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Uhland-Grundschule Pfullingen Außenstelle Burgweg-Gebäude,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Schloß-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Gniebel-Dörnach,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Rübgarten,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Mittelstadt,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Eduard-Spranger-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Hermann-Kurz-Schule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Jos-Weiss-Schule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Matthäus-Beger-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Römerschanz-Schule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Hofschule Altenburg Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Hoffmann-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Auchtert-Grundschule Degerschlacht,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Rossbergschule Grund- und Hauptschule mit Werkrealschule Gönningen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Waldschule Grundschule Ohmenhausen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Oferdingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Schillerschule Grund- und Hauptschule mit Werkrealschule Orschelhagen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Friedrich-Silcher-Schule Grundschule Sickenhausen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Mörikeschule Grund- und Hauptschule Sondelfingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Rommelsbach,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Hohbuchschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Bildungszentrum Reutlingen-Nord Werkrealschule,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
